2025-04-05 01:36:57 | Temperatura: 26°C | Humedad: 48% | CO2: 1131.4 ppm | Sonido: 22.4 dB | Luz: 12.6 Lux
2025-04-05 01:37:01 | Temperatura: 26°C | Humedad: 48% | CO2: 1139.9 ppm | Sonido: 37.8 dB | Luz: 0.0 Lux
2025-04-05 01:37:05 | Temperatura: 26°C | Humedad: 48% | CO2: 1140.3 ppm | Sonido: 22.5 dB | Luz: 12.4 Lux
2025-04-05 01:37:09 | Temperatura: 26°C | Humedad: 48% | CO2: 1145.8 ppm | Sonido: 25.6 dB | Luz: 8.4 Lux
2025-04-05 01:37:13 | Temperatura: 26°C | Humedad: 48% | CO2: 1145.3 ppm | Sonido: 37.4 dB | Luz: 0.0 Lux
2025-04-05 01:41:51 | Temperatura: 26°C | Humedad: 48% | CO2: 1119.4 ppm | Sonido: 34.2 dB | Luz: 0.0 Lux
2025-04-05 01:41:55 | Temperatura: 26°C | Humedad: 48% | CO2: 1139.7 ppm | Sonido: 35.6 dB | Luz: 1.5 Lux
2025-04-05 01:41:59 | Temperatura: 26°C | Humedad: 48% | CO2: 1140.5 ppm | Sonido: 27.4 dB | Luz: 6.6 Lux
2025-04-05 01:42:02 | Temperatura: 26°C | Humedad: 48% | CO2: 1141.4 ppm | Sonido: 32.5 dB | Luz: 0.0 Lux
2025-04-05 01:42:06 | Temperatura: 26°C | Humedad: 48% | CO2: 1139.2 ppm | Sonido: 33.6 dB | Luz: 0.0 Lux
2025-04-05 01:42:10 | Temperatura: 26°C | Humedad: 48% | CO2: 1140.9 ppm | Sonido: 28.6 dB | Luz: 6.7 Lux
2025-04-05 01:42:14 | Temperatura: 26°C | Humedad: 48% | CO2: 1138.5 ppm | Sonido: 19.6 dB | Luz: 12.8 Lux
2025-04-05 01:42:18 | Temperatura: 26°C | Humedad: 48% | CO2: 1140.6 ppm | Sonido: 21.7 dB | Luz: 12.7 Lux
2025-04-05 01:42:22 | Temperatura: 26°C | Humedad: 48% | CO2: 1141.5 ppm | Sonido: 22.4 dB | Luz: 11.7 Lux
2025-04-05 01:42:26 | Temperatura: 26°C | Humedad: 48% | CO2: 1137.4 ppm | Sonido: 37.4 dB | Luz: 0.0 Lux
2025-04-05 01:42:30 | Temperatura: 26°C | Humedad: 48% | CO2: 1144.5 ppm | Sonido: 25.8 dB | Luz: 8.5 Lux
2025-04-05 01:42:34 | Temperatura: 26°C | Humedad: 48% | CO2: 1137.6 ppm | Sonido: 32.2 dB | Luz: 3.9 Lux
2025-04-05 01:42:37 | Temperatura: 26°C | Humedad: 48% | CO2: 1145.4 ppm | Sonido: 32.3 dB | Luz: 4.0 Lux
2025-04-05 01:42:41 | Temperatura: 26°C | Humedad: 48% | CO2: 1140.7 ppm | Sonido: 22.4 dB | Luz: 10.3 Lux
2025-04-05 01:42:45 | Temperatura: 26°C | Humedad: 48% | CO2: 1140.7 ppm | Sonido: 20.7 dB | Luz: 12.8 Lux
2025-04-05 01:42:49 | Temperatura: 26°C | Humedad: 48% | CO2: 1140.7 ppm | Sonido: 23.5 dB | Luz: 11.2 Lux
2025-04-05 01:42:53 | Temperatura: 26°C | Humedad: 48% | CO2: 1144.0 ppm | Sonido: 29.4 dB | Luz: 3.9 Lux
2025-04-05 01:42:57 | Temperatura: 26°C | Humedad: 48% | CO2: 1144.0 ppm | Sonido: 32.0 dB | Luz: 0.3 Lux
2025-04-05 01:43:01 | Temperatura: 26°C | Humedad: 48% | CO2: 1140.7 ppm | Sonido: 20.2 dB | Luz: 12.2 Lux
2025-04-05 01:43:05 | Temperatura: 26°C | Humedad: 48% | CO2: 1143.6 ppm | Sonido: 38.2 dB | Luz: 0.0 Lux
2025-04-05 01:43:09 | Temperatura: 26°C | Humedad: 48% | CO2: 1137.5 ppm | Sonido: 38.1 dB | Luz: 0.0 Lux
2025-04-05 01:43:12 | Temperatura: 26°C | Humedad: 48% | CO2: 1140.8 ppm | Sonido: 35.7 dB | Luz: 1.2 Lux
2025-04-05 01:43:16 | Temperatura: 26°C | Humedad: 48% | CO2: 1144.6 ppm | Sonido: 27.1 dB | Luz: 7.6 Lux
2025-04-05 01:43:20 | Temperatura: 26°C | Humedad: 48% | CO2: 1140.9 ppm | Sonido: 21.4 dB | Luz: 10.8 Lux
2025-04-05 01:43:24 | Temperatura: 26°C | Humedad: 48% | CO2: 1133.3 ppm | Sonido: 20.0 dB | Luz: 12.6 Lux
2025-04-05 01:43:28 | Temperatura: 26°C | Humedad: 48% | CO2: 1138.8 ppm | Sonido: 22.8 dB | Luz: 12.1 Lux
2025-04-05 01:43:32 | Temperatura: 26°C | Humedad: 47% | CO2: 1139.7 ppm | Sonido: 26.5 dB | Luz: 6.9 Lux
2025-04-09 16:40:06 | Temperatura: 23°C | Humedad: 62% | CO2: 1137.8 ppm | Sonido: 30.7 dB | Luz: 0.0 Lux
2025-04-09 16:40:10 | Temperatura: 23°C | Humedad: 62% | CO2: 1147.6 ppm | Sonido: 30.0 dB | Luz: 0.0 Lux
2025-04-09 16:40:14 | Temperatura: 23°C | Humedad: 62% | CO2: 1137.9 ppm | Sonido: 30.5 dB | Luz: 0.0 Lux
2025-04-09 16:40:18 | Temperatura: 23°C | Humedad: 62% | CO2: 1139.5 ppm | Sonido: 30.3 dB | Luz: 0.0 Lux
2025-04-09 16:40:22 | Temperatura: 23°C | Humedad: 62% | CO2: 1140.6 ppm | Sonido: 30.8 dB | Luz: 0.0 Lux
2025-04-09 16:40:26 | Temperatura: 23°C | Humedad: 62% | CO2: 1139.0 ppm | Sonido: 29.5 dB | Luz: 0.0 Lux
2025-04-09 16:40:30 | Temperatura: 23°C | Humedad: 63% | CO2: 1141.6 ppm | Sonido: 29.5 dB | Luz: 0.0 Lux
2025-04-09 16:40:34 | Temperatura: 23°C | Humedad: 63% | CO2: 1135.3 ppm | Sonido: 29.9 dB | Luz: 0.0 Lux
2025-04-09 16:40:37 | Temperatura: 23°C | Humedad: 63% | CO2: 1138.3 ppm | Sonido: 29.4 dB | Luz: 0.0 Lux
